壩工	ㄅㄚˋ　ㄍㄨㄥ
矲雉	ㄅㄚˋ　ㄓˋ
把麼	ㄅㄚˇ　˙ㄇㄜ
八蜡	ㄅㄚ　ㄓㄚˋ
窟裡拔蛇	ㄎㄨ　ㄌ｜ˇ　ㄅㄚˊ　ㄕㄜˊ
把麻	ㄅㄚˇ　ㄇㄚˊ
丁八	ㄉ｜ㄥ　ㄅㄚ
拔樹撼山	ㄅㄚˊ　ㄕㄨˋ　ㄏㄢˋ　ㄕㄢ
豬八戒吃人參果	ㄓㄨ　ㄅㄚ　ㄐ｜ㄝˋ　ㄔ　ㄖㄣˊ　ㄕㄣ　ㄍㄨㄛˇ
十八相送	ㄕˊ　ㄅㄚ　ㄒ｜ㄤ　ㄙㄨㄥˋ
二八	ㄦˋ　ㄅㄚ
八材	ㄅㄚ　ㄘㄞˊ
巴比特合金	ㄅㄚ　ㄅ｜ˇ　ㄊㄜˋ　ㄏㄜˊ　ㄐ｜ㄣ
巴氏反射	ㄅㄚ　ㄕˋ　ㄈㄢˇ　ㄕㄜˋ
神仙一把抓	ㄕㄣˊ　ㄒ｜ㄢ　｜　ㄅㄚˇ　ㄓㄨㄚ
巴黎聖母院	ㄅㄚ　ㄌ｜ˊ　ㄕㄥˋ　ㄇㄨˇ　ㄩㄢˋ
梅香拜把子	ㄇㄟˊ　ㄒ｜ㄤ　ㄅㄞˋ　ㄅㄚˇ　˙ㄗ
留尾巴	ㄌ｜ㄡˊ　ㄨㄟˇ　˙ㄅㄚ
韓國八角會	ㄏㄢˊ　ㄍㄨㄛˊ　ㄅㄚ　ㄐ｜ㄠˇ　ㄏㄨㄟˋ
八拜之交	ㄅㄚ　ㄅㄞˋ　ㄓ　ㄐ｜ㄠ
加巴拉	ㄐ｜ㄚ　ㄅㄚ　ㄌㄚ
一二八事變	｜　ㄦˋ　ㄅㄚ　ㄕˋ　ㄅ｜ㄢˋ
千里達及托巴哥共和國	ㄑ｜ㄢ　ㄌ｜ˇ　ㄉㄚˊ　ㄐ｜ˊ　ㄊㄨㄛ　ㄅㄚ　ㄍㄜ　ㄍㄨㄥˋ　ㄏㄜˊ　ㄍㄨㄛˊ
八音盒	ㄅㄚ　｜ㄣ　ㄏㄜˊ
巴陵戲	ㄅㄚ　ㄌ｜ㄥˊ　ㄒ｜ˋ
巴拉	ㄅㄚ　ㄌㄚ
巴西利亞	ㄅㄚ　ㄒ｜　ㄌ｜ˋ　｜ㄚˋ
拱把	ㄍㄨㄥˇ　ㄅㄚˇ
蝦芭	ㄒ｜ㄚ　˙ㄅㄚ
巴拽	ㄅㄚ　ㄓㄨㄞˋ
巴黎和會	ㄅㄚ　ㄌ｜ˊ　ㄏㄜˊ　ㄏㄨㄟˋ
把細	ㄅㄚˇ　ㄒ｜ˋ
扛鼎拔山	ㄍㄤ　ㄉ｜ㄥˇ　ㄅㄚˊ　ㄕㄢ
大嘴巴	ㄉㄚˋ　ㄗㄨㄟˇ　˙ㄅㄚ
烏七八糟	ㄨ　ㄑ｜　ㄅㄚ　ㄗㄠ
把素	ㄅㄚˇ　ㄙㄨˋ
英拔	｜ㄥ　ㄅㄚˊ
巴拉圭	ㄅㄚ　ㄌㄚ　ㄍㄨㄟ
拔圍出夫	ㄅㄚˊ　ㄨㄟˊ　ㄔㄨ　ㄈㄨ
拔火罐	ㄅㄚˊ　ㄏㄨㄛˇ　ㄍㄨㄢˋ
八千子弟	ㄅㄚ　ㄑ｜ㄢ　ㄗˇ　ㄉ｜ˋ
巴東縣	ㄅㄚ　ㄉㄨㄥ　ㄒ｜ㄢˋ
八月菊	ㄅㄚ　ㄩㄝˋ　ㄐㄩˊ
七跌八撞	ㄑ｜　ㄉ｜ㄝˊ　ㄅㄚ　ㄓㄨㄤˋ
拿一把	ㄋㄚˊ　｜　ㄅㄚˇ
四至八道	ㄙˋ　ㄓˋ　ㄅㄚ　ㄉㄠˋ
拔出	ㄅㄚˊ　ㄔㄨ
狗子夾尾巴	ㄍㄡˇ　˙ㄗ　ㄐ｜ㄚˊ　ㄨㄟˇ　˙ㄅㄚ
變把戲	ㄅ｜ㄢˋ　ㄅㄚˇ　ㄒ｜ˋ
四鄰八舍	ㄙˋ　ㄌ｜ㄣˊ　ㄅㄚ　ㄕㄜˋ
爸爸	ㄅㄚˋ　˙ㄅㄚ
巴黎歌劇院	ㄅㄚ　ㄌ｜ˊ　ㄍㄜ　ㄐㄩˋ　ㄩㄢˋ
拔營	ㄅㄚˊ　｜ㄥˊ
拜把	ㄅㄞˋ　ㄅㄚˇ
八文十二	ㄅㄚ　ㄨㄣˊ　ㄕˊ　ㄦˋ
牽牛拔樁	ㄑ｜ㄢ　ㄋ｜ㄡˊ　ㄅㄚˊ　ㄓㄨㄤ
辛巴達	ㄒ｜ㄣ　ㄅㄚ　ㄉㄚˊ
線板兒	ㄒ｜ㄢˋ　ㄅㄢˇㄦ　(變)ㄒ｜ㄢˋ　ㄅㄚˇㄦ
沒巴沒鼻	ㄇㄟˊ　ㄅㄚ　ㄇㄟˊ　ㄅ｜ˊ
愛巴物兒	ㄞˋ　ㄅㄚ　ㄨˋㄦ
跋步床	ㄅㄚˊ　ㄅㄨˋ　ㄔㄨㄤˊ
芭樂	ㄅㄚ　ㄌㄜˋ
嘎巴兒	ㄍㄚ　˙ㄅㄚㄦ
八掌溪	ㄅㄚ　ㄓㄤˇ　ㄒ｜
喇喇叭叭	ㄌㄚ　˙ㄌㄚ　ㄅㄚ　ㄅㄚ
揭瘡疤	ㄐ｜ㄝ　ㄔㄨㄤ　ㄅㄚ
忽剌八	ㄏㄨ　ㄌㄚˋ　ㄅㄚ
巴斯卡	ㄅㄚ　ㄙ　ㄎㄚˇ
巴船	ㄅㄚ　ㄔㄨㄢˊ
跋扈	ㄅㄚˊ　ㄏㄨˋ
巴勒斯坦解放組織	ㄅㄚ　ㄌㄜˋ　ㄙ　ㄊㄢˇ　ㄐ｜ㄝˇ　ㄈㄤˋ　ㄗㄨˇ　ㄓ
巴格達	ㄅㄚ　ㄍㄜˊ　ㄉㄚˊ
巴米加尼諾	ㄅㄚ　ㄇ｜ˇ　ㄐ｜ㄚ　ㄋ｜ˊ　ㄋㄨㄛˋ
一個跟斗十萬八千里	｜　˙ㄍㄜ　ㄍㄣ　ㄉㄡˇ　ㄕˊ　ㄨㄢˋ　ㄅㄚ　ㄑ｜ㄢ　ㄌ｜ˇ
巴力門	ㄅㄚ　ㄌ｜ˋ　ㄇㄣˊ
八月節	ㄅㄚ　ㄩㄝˋ　ㄐ｜ㄝˊ
靶心	ㄅㄚˇ　ㄒ｜ㄣ
巴巴結結	ㄅㄚ　˙ㄅㄚ　˙ㄐ｜ㄝ　˙ㄐ｜ㄝ
三巴	ㄙㄢ　ㄅㄚ
巴比倫	ㄅㄚ　ㄅ｜ˇ　ㄌㄨㄣˊ
一百八十度	｜　ㄅㄞˇ　ㄅㄚ　ㄕˊ　ㄉㄨˋ
霸	ㄅㄚˋ
八方	ㄅㄚ　ㄈㄤ
古巴共和國	ㄍㄨˇ　ㄅㄚ　ㄍㄨㄥˋ　ㄏㄜˊ　ㄍㄨㄛˊ
萬兒八千	ㄨㄢˋㄦ　ㄅㄚ　ㄑ｜ㄢ　(變)ㄨㄚˋㄦ　ㄅㄚ　ㄑ｜ㄢ
抄靶子	ㄔㄠ　ㄅㄚˇ　˙ㄗ
淋巴球	ㄌ｜ㄣˊ　ㄅㄚ　ㄑ｜ㄡˊ
九一八事變	ㄐ｜ㄡˇ　｜　ㄅㄚ　ㄕˋ　ㄅ｜ㄢˋ
丈八燈臺	ㄓㄤˋ　ㄅㄚ　ㄉㄥ　ㄊㄞˊ
巴掌	ㄅㄚ　˙ㄓㄤ
酒吧	ㄐ｜ㄡˇ　ㄅㄚ
八旗	ㄅㄚ　ㄑ｜ˊ
八通關古道	ㄅㄚ　ㄊㄨㄥ　ㄍㄨㄢ　ㄍㄨˇ　ㄉㄠˋ
胡笳十八拍	ㄏㄨˊ　ㄐ｜ㄚ　ㄕˊ　ㄅㄚ　ㄆㄞ
笆簍	ㄅㄚ　ㄌㄡˇ
八海四瀆	ㄅㄚ　ㄏㄞˇ　ㄙˋ　ㄉㄨˊ
乾吊著下巴	ㄍㄢ　ㄉ｜ㄠˋ　˙ㄓㄜ　ㄒ｜ㄚˋ　˙ㄅㄚ
手把子	ㄕㄡˇ　ㄅㄚˇ　˙ㄗ
霸據	ㄅㄚˋ　ㄐㄩˋ
水壩	ㄕㄨㄟˇ　ㄅㄚˋ
古文八大家	ㄍㄨˇ　ㄨㄣˊ　ㄅㄚ　ㄉㄚˋ　ㄐ｜ㄚ
八仙山	ㄅㄚ　ㄒ｜ㄢ　ㄕㄢ
拔都	ㄅㄚˊ　ㄉㄨ
堤壩	ㄊ｜ˊ　ㄅㄚˋ
巴黎大學	ㄅㄚ　ㄌ｜ˊ　ㄉㄚˋ　ㄒㄩㄝˊ
把來	ㄅㄚˇ　ㄌㄞˊ
兗州八伯	｜ㄢˇ　ㄓㄡ　ㄅㄚ　ㄅㄛˊ
劣把	ㄌ｜ㄝˋ　˙ㄅㄚ
巴拿馬運河新約	ㄅㄚ　ㄋㄚˊ　ㄇㄚˇ　ㄩㄣˋ　ㄏㄜˊ　ㄒ｜ㄣ　ㄩㄝ
疤	ㄅㄚ
刀疤	ㄉㄠ　ㄅㄚ
手把	ㄕㄡˇ　ㄅㄚˇ
七病八痛	ㄑ｜　ㄅ｜ㄥˋ　ㄅㄚ　ㄊㄨㄥˋ
八珍鹹粥	ㄅㄚ　ㄓㄣ　ㄒ｜ㄢˊ　ㄓㄡ
八政	ㄅㄚ　ㄓㄥˋ
老一巴掌	ㄌㄠˇ　｜　ㄅㄚ　˙ㄓㄤ
巴洛克藝術	ㄅㄚ　ㄌㄨㄛˋ　ㄎㄜˋ　｜ˋ　ㄕㄨˋ
夾七夾八	ㄐ｜ㄚˊ　ㄑ｜　ㄐ｜ㄚˊ　ㄅㄚ
漢尼拔	ㄏㄢˋ　ㄋ｜ˊ　ㄅㄚˊ
七老八老	ㄑ｜　ㄌㄠˇ　ㄅㄚ　ㄌㄠˇ
臉巴子	ㄌ｜ㄢˇ　ㄅㄚ　˙ㄗ
奇經八脈	ㄑ｜ˊ　ㄐ｜ㄥ　ㄅㄚ　ㄇㄞˋ
拔頭	ㄅㄚˊ　ㄊㄡˊ
老把勢	ㄌㄠˇ　ㄅㄚˇ　˙ㄕ
武把子	ㄨˇ　ㄅㄚˇ　˙ㄗ
現代芭蕾	ㄒ｜ㄢˋ　ㄉㄞˋ　ㄅㄚ　ㄌㄟˇ
巴油池	ㄅㄚ　｜ㄡˊ　ㄔˊ
爭霸戰	ㄓㄥ　ㄅㄚˋ　ㄓㄢˋ
